id,cluster,family,stage_split,name,lane_at_entry,first_test_exposure_class,design_lineage,status,priority_tier,value_0_10,risk_0_10,falsification_cost_1_3,est_corr_with_baseline,sample,new_pnl_source_candidate,deferred_or_pending,notes
X14,C4,4,,Trend-strength premise (two shape-sensitive contrasts),MEASUREMENT,DESIGN_INFORMING_MEASUREMENT (conditional forward returns),none,PROPOSED,2,6,3,1,">=0.9 (prior)",etf_panel,no,,"Monotone and concave contrasts predeclared; both failing stops progression, not falsification; bars fixed at candidate design"
X15,C4,4,,Bounded continuous sizing,FULL,TARGET_PERFORMANCE_EXPOSURE,X14-informed,PROPOSED,3,5,4,2,">=0.9 (prior)",etf_panel_then_futures,no,conditional_on_X14,"One mapping only"
X16,C4,9,,Estimator-family dependence (sign / EWMA-xover / slope t-stat / Donchian),MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (four Sharpes),none,PROPOSED,2,7,2,1,0.8-0.95 (prior),etf_panel,no,,"High correlation restricts independence claims; does not by itself kill a low-cost ensemble"
X17,C4,10,,Estimator ensemble (EW/median/majority) vs baseline,FULL,TARGET_PERFORMANCE_EXPOSURE,X16-informed,PROPOSED,3,5,3,2,">=0.9 (prior)",etf_panel_then_futures,no,conditional_on_X16,"EW ensemble is the bar for any later complexity"
X18,C4,15,,Path-efficiency (ER) conditioning,MEASUREMENT,DESIGN_INFORMING_MEASUREMENT (conditional forward returns),none,PROPOSED,2,5,3,1,">=0.9 (prior)",etf_panel_regime_panel,no,,"Family grouping with X39 decided by the actual selection process"
X19,C5,5,,Acceleration and trend-age premise,MEASUREMENT,DESIGN_INFORMING_MEASUREMENT,none,PROPOSED,2,6,6,1,">=0.9 (prior)",etf_panel,no,,"Proposed: sign-aligned acceleration; age reset at zero score; linear + terciles; family of 4 with X20 = acceleration coefficient + age coefficient + 3x3 corner contrast + X20 tail cell; level is a covariate not counted; corner contrast is decision-bearing and counted (governance choice B)"
X20,C5,5,,Exhaustion after extreme acceleration (tail cell),MEASUREMENT,DESIGN_INFORMING_MEASUREMENT,none,PROPOSED,3,4,6,1,">=0.9 (prior)",etf_panel,no,,"One tail cell in the X19 family (total 4)"
X21,C6,6,,Trend breadth predicts continuation,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (published net returns as outcome),T0 published inputs,PROPOSED,2,6,6,1,">=0.9 (prior)",etf_panel_published_net,no,,"8-cell family with X22/X23; episode jackknife ranked above significance"
X22,C6,6,,Signal dispersion / mixed-horizon disagreement state,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE,T0 published inputs,PROPOSED,3,4,5,1,">=0.9 (prior)",etf_panel,no,,"Same family as X21"
X23,C6,6,,Trend concentration (effective number of active trends),MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE,T0 published inputs,PROPOSED,3,3,5,1,">=0.9 (prior)",etf_panel,no,,"Same family as X21"
X24,C7,7,,Long/short decomposition by sleeve (Wave 1),MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (substream statistics of published streams),T0 published inputs,PROPOSED,1,7,2,1,n/a,etf_panel_published_streams,no,,"5-cell family; 'crisis alpha is short-side' is a hypothesis it tests"
X25,C7,7,,Asymmetric short-side scaling in premium sleeves,FULL,TARGET_PERFORMANCE_EXPOSURE,POST_EXPOSURE_DESIGN_ON_ETF_PANEL (X24-selected sleeves),PROPOSED,3,6,5,2,">=0.9 (prior)",etf_panel_then_T1/T3/T4,no,conditional_on_X24,"Crisis preservation applies (modifies the deployed stream's defensive side)"
X26,C8,8,,Equal-sleeve risk vs equal-asset risk (equivalence),FULL,TARGET_PERFORMANCE_EXPOSURE,POST_EXPOSURE_DESIGN_ON_ETF_PANEL (sleeve stats published),PROPOSED,2,5,2,1,">=0.95 (prior)",etf_panel,no,,"Equivalence/non-inferiority margin declared; no significant difference is not equivalence"
X27,C8,8,,Cluster-based hierarchical risk budget,FULL,TARGET_PERFORMANCE_EXPOSURE,as X26,PROPOSED,3,3,5,2,">=0.95 (prior)",etf_panel,no,same_family_as_X26,"Must beat equal-sleeve on the declared objective"
X28,C8,18,,Static risk-premium blend for deployment,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (allocation performance),T0 published inputs,PROPOSED,2,6,1,1,0.1-0.3 (prior),etf_panel_published_streams,yes_long_book,,"Allocation memo, not a strategy; exposure logged"
X29,C8,18,,Dynamic allocation across validated sub-strategies,DEFERRED,,none,PROPOSED,4,,,,,none,no,requires_two_lines_past_section_9_gate,"Equal / inverse-vol / capped inverse-vol only"
X30,C9,11,,"Execution-day robustness (T..T+3, mid-month)",MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (5 variants),none,PROPOSED,2,6,1,1,">=0.95 (prior)",etf_daily_panel,no,,"No selection; dispersion is the statistic; whole grid preserved"
X31,C9,11,,Tranched (staggered weekly) execution,FULL,TARGET_PERFORMANCE_EXPOSURE,none,PROPOSED,2,5,2,2,">=0.95 (prior)",etf_daily_panel,no,,"Single variant; FULL with proportionate effort"
X32,C9,12,,Contract-integer hysteresis band (futures-native),FULL,TARGET_PERFORMANCE_EXPOSURE,none,PROPOSED,2,6,3,2,">=0.95 (prior)",databento_commodity_18,no,after_Wave_1,"Two thresholds; tracking-error objective"
X33,C9,12,,Signal-path smoothing / sign-persistence confirmation,FULL,TARGET_PERFORMANCE_EXPOSURE,POST_EXPOSURE_DESIGN_ON_ETF_PANEL (turnover split published) + ROBUSTNESS_GRID_INFORMED,PROPOSED,2,4,5,2,">=0.95 (prior)",etf_panel_then_T1/T3/T4,no,,"Two variants"
X34,C9,14,,Event-triggered intra-month re-evaluation after a large adverse move,MEASUREMENT->FULL,DESIGN_INFORMING_MEASUREMENT (conditional forward returns),none,PROPOSED,2,5,5,1,">=0.9 (prior)",etf_daily_panel,no,,"Comparable forward horizon and eligible-event population defined at candidate design; late-period exclusions need justification"
X35,C10,13,a/b,Volatility-estimator stability diagnostic (X35a) and replacement non-inferiority study (X35b),MEASUREMENT (X35a) / FULL (X35b),TARGET_PERFORMANCE_EXPOSURE where Sharpe or worst-month outputs are produced,none,PROPOSED,2,5,2,1,">=0.97 (prior)",etf_panel,no,,"Selection by stability; acceptance by non-inferiority on the stated objective; a-stage exposure remains exposed"
X36,C10,13,a/b,Cap-binding diagnostic (X36a) and vol-floor policy evaluation (X36b),MEASUREMENT (X36a) / FULL (X36b),DESIGN_INFORMING_MEASUREMENT + TARGET_PERFORMANCE_EXPOSURE (X36a: cap-bind frequency is design-informing; PnL and drawdown attribution of cap-bound positions are target-performance); TARGET_PERFORMANCE_EXPOSURE (X36b),none,PROPOSED,3,3,1,1,">=0.97 (prior)",etf_panel,no,,"One floor value; X36a outputs remain exposed and are not fresh for X36b"
X37,C11,14,,Own-drawdown-state conditioning,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (published net conditioned),T0 published inputs,PROPOSED,3,5,7,1,">=0.9 (prior)",etf_panel_published_net,no,,"12 episodes; jackknife mandatory"
X38,C11,14,,Loss-clustering state,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE,T0 published inputs,PROPOSED,3,3,7,1,">=0.9 (prior)",etf_panel_published_net,no,,"Same family as X37"
X39,C12,15,,High-vol-regime conditioning per asset,MEASUREMENT,DESIGN_INFORMING_MEASUREMENT (conditional forward returns),none,PROPOSED,3,3,3,1,">=0.9 (prior)",etf_panel_regime_panel,no,,"Low expected value; grouping with X18 per selection process"
X40,C12,15,,Cross-asset correlation state,DEFERRED,,POST_EXPOSURE_DESIGN (inversion of the crash-defense result),PROPOSED,4,3,8,,">=0.9 (prior)",T3_or_T4_only,no,post_exposure_inversion,"Admissible only in contexts T3/T4"
X41,C12,15,,CFTC positioning / crowding (COT),DEFERRED,,none,PROPOSED,4,5,5,3,">=0.9 (prior)",cot_not_fetched,no,data_and_reserved_by_carry_prereg,"Futures-native; after Wave 1"
X42,C12,15,,VIX / MOVE macro-uncertainty conditioning,DEFERRED,,none,PROPOSED,4,2,6,,">=0.9 (prior)",vix_move_not_fetched,no,closed_same_class_as_crash_defense_and_yield_curve,"Reopen only with a distinct mechanism"
X43,C13,16,,Carry-trend agreement premise (2x2 sort + one bridge cell),MEASUREMENT->FULL,TARGET_PERFORMANCE_EXPOSURE (conditional strategy returns),CARRY_STUDY_INFORMED,PROPOSED,2,7,5,2,0.7-0.9 (prior),databento_commodity_18,borderline,,"Family: pooled + 4 sectors + 1 bridge cell (|score| = 0.5); ledger appended; shared record with MR"
X44,C13,16,,Carry as direction rule in the ambiguous non-zero trend state,FULL,TARGET_PERFORMANCE_EXPOSURE,X43-informed,PROPOSED,3,4,4,2,">=0.9 (prior)",databento_commodity_18,no,conditional_on_X43_bridge_cell,"Scope excludes score = 0; CARRY_CONDITIONAL_ON_NEUTRAL_TREND_STATE recorded as DEFERRED / UNTESTED CONDITIONAL HYPOTHESIS, not falsified, not a commitment"
X45,C14,diag,,Hidden beta / static-premium decomposition of the core,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (static-book and residual Sharpes),T0 published inputs,PROPOSED,1,7,1,1,n/a,etf_panel_published_streams,no,,"Retrospective full-sample description; the average-position control is not an ex-ante deployable strategy"
X46,C14,diag,,Convexity profile and crisis-alpha attribution,MEASUREMENT,TARGET_PERFORMANCE_EXPOSURE (crisis attribution of published streams),T0 published inputs,PROPOSED,1,5,1,1,n/a,etf_panel_published_streams,no,,"Same family as X45"
